Description,trans_date,Quantity,day_of_week,month
JUMBO BAG RED RETROSPOT,2011-04-20,110,2,4
JUMBO BAG RED RETROSPOT,2011-04-21,121,3,4
JUMBO BAG RED RETROSPOT,2011-04-26,171,1,4
JUMBO BAG RED RETROSPOT,2011-04-27,64,2,4
JUMBO BAG RED RETROSPOT,2011-04-28,32,3,4
JUMBO BAG RED RETROSPOT,2011-05-01,95,6,5
JUMBO BAG RED RETROSPOT,2011-05-03,50,1,5
JUMBO BAG RED RETROSPOT,2011-05-04,48,2,5
JUMBO BAG RED RETROSPOT,2011-05-05,52,3,5
JUMBO BAG RED RETROSPOT,2011-05-06,82,4,5
JUMBO BAG RED RETROSPOT,2011-05-08,110,6,5
JUMBO BAG RED RETROSPOT,2011-05-09,60,0,5
JUMBO BAG RED RETROSPOT,2011-05-10,352,1,5
JUMBO BAG RED RETROSPOT,2011-05-11,154,2,5
JUMBO BAG RED RETROSPOT,2011-05-12,237,3,5
JUMBO BAG RED RETROSPOT,2011-05-13,340,4,5
JUMBO BAG RED RETROSPOT,2011-05-15,3,6,5
JUMBO BAG RED RETROSPOT,2011-05-16,133,0,5
JUMBO BAG RED RETROSPOT,2011-05-17,152,1,5
JUMBO BAG RED RETROSPOT,2011-05-18,176,2,5
JUMBO BAG RED RETROSPOT,2011-05-19,156,3,5
JUMBO BAG RED RETROSPOT,2011-05-20,273,4,5
JUMBO BAG RED RETROSPOT,2011-05-22,71,6,5
JUMBO BAG RED RETROSPOT,2011-05-23,355,0,5
JUMBO BAG RED RETROSPOT,2011-05-24,243,1,5
JUMBO BAG RED RETROSPOT,2011-05-25,252,2,5
JUMBO BAG RED RETROSPOT,2011-05-26,6,3,5
JUMBO BAG RED RETROSPOT,2011-05-27,30,4,5
JUMBO BAG RED RETROSPOT,2011-05-29,12,6,5
JUMBO BAG RED RETROSPOT,2011-05-31,28,1,5
JUMBO BAG RED RETROSPOT,2011-06-01,16,2,6
JUMBO BAG RED RETROSPOT,2011-06-02,142,3,6
JUMBO BAG RED RETROSPOT,2011-06-03,32,4,6
JUMBO BAG RED RETROSPOT,2011-06-05,35,6,6
JUMBO BAG RED RETROSPOT,2011-06-06,122,0,6
JUMBO BAG RED RETROSPOT,2011-06-07,314,1,6
JUMBO BAG RED RETROSPOT,2011-06-08,94,2,6
JUMBO BAG RED RETROSPOT,2011-06-09,80,3,6
JUMBO BAG RED RETROSPOT,2011-06-10,65,4,6
JUMBO BAG RED RETROSPOT,2011-06-12,148,6,6
JUMBO BAG RED RETROSPOT,2011-06-13,31,0,6
JUMBO BAG RED RETROSPOT,2011-06-14,232,1,6
JUMBO BAG RED RETROSPOT,2011-06-15,295,2,6
JUMBO BAG RED RETROSPOT,2011-06-16,130,3,6
JUMBO BAG RED RETROSPOT,2011-06-17,120,4,6
JUMBO BAG RED RETROSPOT,2011-06-19,123,6,6
JUMBO BAG RED RETROSPOT,2011-06-20,341,0,6
JUMBO BAG RED RETROSPOT,2011-06-21,154,1,6
JUMBO BAG RED RETROSPOT,2011-06-22,120,2,6
JUMBO BAG RED RETROSPOT,2011-06-23,141,3,6
JUMBO BAG RED RETROSPOT,2011-06-24,30,4,6
JUMBO BAG RED RETROSPOT,2011-06-26,30,6,6
JUMBO BAG RED RETROSPOT,2011-06-27,230,0,6
JUMBO BAG RED RETROSPOT,2011-06-28,213,1,6
JUMBO BAG RED RETROSPOT,2011-06-29,60,2,6
JUMBO BAG RED RETROSPOT,2011-06-30,231,3,6
JUMBO BAG RED RETROSPOT,2011-07-01,50,4,7
JUMBO BAG RED RETROSPOT,2011-07-03,4,6,7
JUMBO BAG RED RETROSPOT,2011-07-04,32,0,7
JUMBO BAG RED RETROSPOT,2011-07-05,280,1,7
JUMBO BAG RED RETROSPOT,2011-07-06,198,2,7
JUMBO BAG RED RETROSPOT,2011-07-07,372,3,7
JUMBO BAG RED RETROSPOT,2011-07-08,400,4,7
JUMBO BAG RED RETROSPOT,2011-07-10,7,6,7
JUMBO BAG RED RETROSPOT,2011-07-11,22,0,7
JUMBO BAG RED RETROSPOT,2011-07-12,24,1,7
JUMBO BAG RED RETROSPOT,2011-07-13,73,2,7
JUMBO BAG RED RETROSPOT,2011-07-14,121,3,7
JUMBO BAG RED RETROSPOT,2011-07-15,40,4,7
JUMBO BAG RED RETROSPOT,2011-07-17,135,6,7
JUMBO BAG RED RETROSPOT,2011-07-18,49,0,7
JUMBO BAG RED RETROSPOT,2011-07-19,273,1,7
JUMBO BAG RED RETROSPOT,2011-07-20,267,2,7
JUMBO BAG RED RETROSPOT,2011-07-21,40,3,7
JUMBO BAG RED RETROSPOT,2011-07-22,38,4,7
JUMBO BAG RED RETROSPOT,2011-07-24,25,6,7
JUMBO BAG RED RETROSPOT,2011-07-25,50,0,7
JUMBO BAG RED RETROSPOT,2011-07-26,140,1,7
JUMBO BAG RED RETROSPOT,2011-07-27,161,2,7
JUMBO BAG RED RETROSPOT,2011-07-28,46,3,7
JUMBO BAG RED RETROSPOT,2011-07-29,111,4,7
JUMBO BAG RED RETROSPOT,2011-07-31,12,6,7
JUMBO BAG RED RETROSPOT,2011-08-01,348,0,8
JUMBO BAG RED RETROSPOT,2011-08-02,50,1,8
JUMBO BAG RED RETROSPOT,2011-08-03,36,2,8
JUMBO BAG RED RETROSPOT,2011-08-04,450,3,8
JUMBO BAG RED RETROSPOT,2011-08-05,134,4,8
JUMBO BAG RED RETROSPOT,2011-08-07,23,6,8
JUMBO BAG RED RETROSPOT,2011-08-08,354,0,8
JUMBO BAG RED RETROSPOT,2011-08-09,263,1,8
JUMBO BAG RED RETROSPOT,2011-08-10,550,2,8
JUMBO BAG RED RETROSPOT,2011-08-11,50,3,8
JUMBO BAG RED RETROSPOT,2011-08-12,12,4,8
JUMBO BAG RED RETROSPOT,2011-08-14,22,6,8
JUMBO BAG RED RETROSPOT,2011-08-15,62,0,8
JUMBO BAG RED RETROSPOT,2011-08-16,45,1,8
JUMBO BAG RED RETROSPOT,2011-08-17,266,2,8
JUMBO BAG RED RETROSPOT,2011-08-18,390,3,8
JUMBO BAG RED RETROSPOT,2011-08-19,100,4,8
JUMBO BAG RED RETROSPOT,2011-08-21,478,6,8
JUMBO BAG RED RETROSPOT,2011-08-22,130,0,8
JUMBO BAG RED RETROSPOT,2011-08-23,151,1,8
JUMBO BAG RED RETROSPOT,2011-08-24,930,2,8
JUMBO BAG RED RETROSPOT,2011-08-25,103,3,8
JUMBO BAG RED RETROSPOT,2011-08-26,50,4,8
JUMBO BAG RED RETROSPOT,2011-08-28,11,6,8
JUMBO BAG RED RETROSPOT,2011-08-30,20,1,8
JUMBO BAG RED RETROSPOT,2011-08-31,150,2,8
JUMBO BAG RED RETROSPOT,2011-09-01,301,3,9
JUMBO BAG RED RETROSPOT,2011-09-02,115,4,9
JUMBO BAG RED RETROSPOT,2011-09-04,58,6,9
JUMBO BAG RED RETROSPOT,2011-09-05,54,0,9
JUMBO BAG RED RETROSPOT,2011-09-06,84,1,9
JUMBO BAG RED RETROSPOT,2011-09-07,247,2,9
JUMBO BAG RED RETROSPOT,2011-09-08,37,3,9
JUMBO BAG RED RETROSPOT,2011-09-09,50,4,9
JUMBO BAG RED RETROSPOT,2011-09-11,53,6,9
JUMBO BAG RED RETROSPOT,2011-09-12,72,0,9
JUMBO BAG RED RETROSPOT,2011-09-13,143,1,9
JUMBO BAG RED RETROSPOT,2011-09-14,1,2,9
JUMBO BAG RED RETROSPOT,2011-09-15,141,3,9
JUMBO BAG RED RETROSPOT,2011-09-16,104,4,9
JUMBO BAG RED RETROSPOT,2011-09-18,225,6,9
JUMBO BAG RED RETROSPOT,2011-09-19,493,0,9
JUMBO BAG RED RETROSPOT,2011-09-20,131,1,9
JUMBO BAG RED RETROSPOT,2011-09-21,410,2,9
JUMBO BAG RED RETROSPOT,2011-09-22,256,3,9
JUMBO BAG RED RETROSPOT,2011-09-23,261,4,9
JUMBO BAG RED RETROSPOT,2011-09-25,61,6,9
JUMBO BAG RED RETROSPOT,2011-09-26,220,0,9
JUMBO BAG RED RETROSPOT,2011-09-27,152,1,9
JUMBO BAG RED RETROSPOT,2011-09-28,90,2,9
JUMBO BAG RED RETROSPOT,2011-09-29,369,3,9
JUMBO BAG RED RETROSPOT,2011-09-30,47,4,9
JUMBO BAG RED RETROSPOT,2011-10-02,6,6,10
JUMBO BAG RED RETROSPOT,2011-10-03,38,0,10
JUMBO BAG RED RETROSPOT,2011-10-04,67,1,10
JUMBO BAG RED RETROSPOT,2011-10-05,360,2,10
JUMBO BAG RED RETROSPOT,2011-10-06,1580,3,10
JUMBO BAG RED RETROSPOT,2011-10-07,623,4,10
JUMBO BAG RED RETROSPOT,2011-10-09,22,6,10
JUMBO BAG RED RETROSPOT,2011-10-10,42,0,10
JUMBO BAG RED RETROSPOT,2011-10-11,368,1,10
JUMBO BAG RED RETROSPOT,2011-10-12,73,2,10
JUMBO BAG RED RETROSPOT,2011-10-13,259,3,10
JUMBO BAG RED RETROSPOT,2011-10-14,141,4,10
JUMBO BAG RED RETROSPOT,2011-10-16,18,6,10
JUMBO BAG RED RETROSPOT,2011-10-17,403,0,10
JUMBO BAG RED RETROSPOT,2011-10-18,107,1,10
JUMBO BAG RED RETROSPOT,2011-10-19,40,2,10
JUMBO BAG RED RETROSPOT,2011-10-20,341,3,10
JUMBO BAG RED RETROSPOT,2011-10-21,122,4,10
JUMBO BAG RED RETROSPOT,2011-10-23,7,6,10
JUMBO BAG RED RETROSPOT,2011-10-24,266,0,10
JUMBO BAG RED RETROSPOT,2011-10-25,160,1,10
JUMBO BAG RED RETROSPOT,2011-10-26,33,2,10
JUMBO BAG RED RETROSPOT,2011-10-27,41,3,10
JUMBO BAG RED RETROSPOT,2011-10-28,12,4,10
JUMBO BAG RED RETROSPOT,2011-10-30,51,6,10
JUMBO BAG RED RETROSPOT,2011-10-31,57,0,10
JUMBO BAG RED RETROSPOT,2011-11-01,84,1,11
JUMBO BAG RED RETROSPOT,2011-11-02,238,2,11
JUMBO BAG RED RETROSPOT,2011-11-03,451,3,11
JUMBO BAG RED RETROSPOT,2011-11-04,48,4,11
JUMBO BAG RED RETROSPOT,2011-11-06,120,6,11
JUMBO BAG RED RETROSPOT,2011-11-07,134,0,11
JUMBO BAG RED RETROSPOT,2011-11-08,134,1,11
JUMBO BAG RED RETROSPOT,2011-11-09,721,2,11
JUMBO BAG RED RETROSPOT,2011-11-10,1074,3,11
JUMBO BAG RED RETROSPOT,2011-11-11,44,4,11
JUMBO BAG RED RETROSPOT,2011-11-13,37,6,11
JUMBO BAG RED RETROSPOT,2011-11-14,660,0,11
JUMBO BAG RED RETROSPOT,2011-11-15,374,1,11
JUMBO BAG RED RETROSPOT,2011-11-16,304,2,11
JUMBO BAG RED RETROSPOT,2011-11-17,91,3,11
JUMBO BAG RED RETROSPOT,2011-11-18,62,4,11
JUMBO BAG RED RETROSPOT,2011-11-20,68,6,11
JUMBO BAG RED RETROSPOT,2011-11-21,145,0,11
JUMBO BAG RED RETROSPOT,2011-11-22,130,1,11
JUMBO BAG RED RETROSPOT,2011-11-23,132,2,11
JUMBO BAG RED RETROSPOT,2011-11-24,235,3,11
JUMBO BAG RED RETROSPOT,2011-11-25,31,4,11
JUMBO BAG RED RETROSPOT,2011-11-27,28,6,11
JUMBO BAG RED RETROSPOT,2011-11-28,39,0,11
JUMBO BAG RED RETROSPOT,2011-11-29,141,1,11
JUMBO BAG RED RETROSPOT,2011-11-30,152,2,11
JUMBO BAG RED RETROSPOT,2011-12-01,147,3,12
JUMBO BAG RED RETROSPOT,2011-12-02,490,4,12
JUMBO BAG RED RETROSPOT,2011-12-04,12,6,12
JUMBO BAG RED RETROSPOT,2011-12-05,50,0,12
JUMBO BAG RED RETROSPOT,2011-12-06,174,1,12
JUMBO BAG RED RETROSPOT,2011-12-07,80,2,12
JUMBO BAG RED RETROSPOT,2011-12-08,92,3,12
JUMBO BAG RED RETROSPOT,2011-12-09,10,4,12
LUNCH BAG  BLACK SKULL.,2010-12-01,143,2,12
LUNCH BAG  BLACK SKULL.,2010-12-02,34,3,12
LUNCH BAG  BLACK SKULL.,2010-12-03,61,4,12
LUNCH BAG  BLACK SKULL.,2010-12-05,12,6,12
LUNCH BAG  BLACK SKULL.,2010-12-06,27,0,12
LUNCH BAG  BLACK SKULL.,2010-12-07,34,1,12
LUNCH BAG  BLACK SKULL.,2010-12-08,21,2,12
LUNCH BAG  BLACK SKULL.,2010-12-09,14,3,12
LUNCH BAG  BLACK SKULL.,2010-12-10,12,4,12
LUNCH BAG  BLACK SKULL.,2010-12-12,16,6,12
LUNCH BAG  BLACK SKULL.,2010-12-13,10,0,12
LUNCH BAG  BLACK SKULL.,2010-12-14,45,1,12
LUNCH BAG  BLACK SKULL.,2010-12-15,16,2,12
LUNCH BAG  BLACK SKULL.,2010-12-16,3,3,12
LUNCH BAG  BLACK SKULL.,2010-12-20,10,0,12
LUNCH BAG  BLACK SKULL.,2011-01-04,1,1,1
LUNCH BAG  BLACK SKULL.,2011-01-06,94,3,1
LUNCH BAG  BLACK SKULL.,2011-01-07,26,4,1
LUNCH BAG  BLACK SKULL.,2011-01-09,40,6,1
LUNCH BAG  BLACK SKULL.,2011-01-11,30,1,1
LUNCH BAG  BLACK SKULL.,2011-01-12,9,2,1
LUNCH BAG  BLACK SKULL.,2011-01-13,2,3,1
LUNCH BAG  BLACK SKULL.,2011-01-14,110,4,1
LUNCH BAG  BLACK SKULL.,2011-01-16,13,6,1
LUNCH BAG  BLACK SKULL.,2011-01-17,10,0,1
LUNCH BAG  BLACK SKULL.,2011-01-18,13,1,1
LUNCH BAG  BLACK SKULL.,2011-01-19,111,2,1
LUNCH BAG  BLACK SKULL.,2011-01-20,23,3,1
LUNCH BAG  BLACK SKULL.,2011-01-23,10,6,1
LUNCH BAG  BLACK SKULL.,2011-01-24,20,0,1
LUNCH BAG  BLACK SKULL.,2011-01-25,50,1,1
LUNCH BAG  BLACK SKULL.,2011-01-26,31,2,1
LUNCH BAG  BLACK SKULL.,2011-01-27,10,3,1
LUNCH BAG  BLACK SKULL.,2011-01-28,25,4,1
LUNCH BAG  BLACK SKULL.,2011-01-30,24,6,1
LUNCH BAG  BLACK SKULL.,2011-01-31,20,0,1
LUNCH BAG  BLACK SKULL.,2011-02-01,22,1,2
LUNCH BAG  BLACK SKULL.,2011-02-02,32,2,2
LUNCH BAG  BLACK SKULL.,2011-02-03,13,3,2
LUNCH BAG  BLACK SKULL.,2011-02-04,10,4,2
LUNCH BAG  BLACK SKULL.,2011-02-08,13,1,2
LUNCH BAG  BLACK SKULL.,2011-02-10,12,3,2
LUNCH BAG  BLACK SKULL.,2011-02-11,40,4,2
LUNCH BAG  BLACK SKULL.,2011-02-14,32,0,2
LUNCH BAG  BLACK SKULL.,2011-02-15,10,1,2
LUNCH BAG  BLACK SKULL.,2011-02-16,2,2,2
LUNCH BAG  BLACK SKULL.,2011-02-17,22,3,2
LUNCH BAG  BLACK SKULL.,2011-02-18,40,4,2
LUNCH BAG  BLACK SKULL.,2011-02-20,1,6,2
LUNCH BAG  BLACK SKULL.,2011-02-22,100,1,2
LUNCH BAG  BLACK SKULL.,2011-02-23,25,2,2
LUNCH BAG  BLACK SKULL.,2011-02-24,30,3,2
LUNCH BAG  BLACK SKULL.,2011-02-25,20,4,2
LUNCH BAG  BLACK SKULL.,2011-02-27,2,6,2
LUNCH BAG  BLACK SKULL.,2011-03-01,120,1,3
LUNCH BAG  BLACK SKULL.,2011-03-02,2,2,3
LUNCH BAG  BLACK SKULL.,2011-03-03,39,3,3
LUNCH BAG  BLACK SKULL.,2011-03-06,5,6,3
LUNCH BAG  BLACK SKULL.,2011-03-07,5,0,3
LUNCH BAG  BLACK SKULL.,2011-03-08,22,1,3
LUNCH BAG  BLACK SKULL.,2011-03-09,20,2,3
LUNCH BAG  BLACK SKULL.,2011-03-10,24,3,3
LUNCH BAG  BLACK SKULL.,2011-03-11,100,4,3
LUNCH BAG  BLACK SKULL.,2011-03-13,6,6,3
LUNCH BAG  BLACK SKULL.,2011-03-14,13,0,3
LUNCH BAG  BLACK SKULL.,2011-03-15,20,1,3
LUNCH BAG  BLACK SKULL.,2011-03-17,30,3,3
LUNCH BAG  BLACK SKULL.,2011-03-20,45,6,3
LUNCH BAG  BLACK SKULL.,2011-03-21,76,0,3
LUNCH BAG  BLACK SKULL.,2011-03-22,18,1,3
LUNCH BAG  BLACK SKULL.,2011-03-23,4,2,3
LUNCH BAG  BLACK SKULL.,2011-03-24,15,3,3
LUNCH BAG  BLACK SKULL.,2011-03-25,55,4,3
LUNCH BAG  BLACK SKULL.,2011-03-28,55,0,3
LUNCH BAG  BLACK SKULL.,2011-03-29,163,1,3
LUNCH BAG  BLACK SKULL.,2011-03-30,134,2,3
LUNCH BAG  BLACK SKULL.,2011-03-31,55,3,3
LUNCH BAG  BLACK SKULL.,2011-04-01,28,4,4
LUNCH BAG  BLACK SKULL.,2011-04-03,3,6,4
LUNCH BAG  BLACK SKULL.,2011-04-04,7,0,4
LUNCH BAG  BLACK SKULL.,2011-04-05,4,1,4
LUNCH BAG  BLACK SKULL.,2011-04-06,16,2,4
LUNCH BAG  BLACK SKULL.,2011-04-07,14,3,4
LUNCH BAG  BLACK SKULL.,2011-04-08,20,4,4
LUNCH BAG  BLACK SKULL.,2011-04-10,20,6,4
LUNCH BAG  BLACK SKULL.,2011-04-11,24,0,4
LUNCH BAG  BLACK SKULL.,2011-04-12,30,1,4
LUNCH BAG  BLACK SKULL.,2011-04-13,11,2,4
LUNCH BAG  BLACK SKULL.,2011-04-14,50,3,4
LUNCH BAG  BLACK SKULL.,2011-04-15,10,4,4
LUNCH BAG  BLACK SKULL.,2011-04-17,12,6,4
LUNCH BAG  BLACK SKULL.,2011-04-18,14,0,4
LUNCH BAG  BLACK SKULL.,2011-04-20,49,2,4
LUNCH BAG  BLACK SKULL.,2011-04-21,10,3,4
LUNCH BAG  BLACK SKULL.,2011-04-26,60,1,4
LUNCH BAG  BLACK SKULL.,2011-04-27,40,2,4
LUNCH BAG  BLACK SKULL.,2011-04-28,21,3,4
LUNCH BAG  BLACK SKULL.,2011-05-01,20,6,5
LUNCH BAG  BLACK SKULL.,2011-05-03,43,1,5
LUNCH BAG  BLACK SKULL.,2011-05-04,101,2,5
LUNCH BAG  BLACK SKULL.,2011-05-05,27,3,5
LUNCH BAG  BLACK SKULL.,2011-05-06,67,4,5
LUNCH BAG  BLACK SKULL.,2011-05-08,19,6,5
LUNCH BAG  BLACK SKULL.,2011-05-09,46,0,5
LUNCH BAG  BLACK SKULL.,2011-05-10,152,1,5
LUNCH BAG  BLACK SKULL.,2011-05-11,34,2,5
LUNCH BAG  BLACK SKULL.,2011-05-12,50,3,5
LUNCH BAG  BLACK SKULL.,2011-05-13,49,4,5
LUNCH BAG  BLACK SKULL.,2011-05-15,12,6,5
LUNCH BAG  BLACK SKULL.,2011-05-16,71,0,5
LUNCH BAG  BLACK SKULL.,2011-05-17,74,1,5
LUNCH BAG  BLACK SKULL.,2011-05-18,13,2,5
LUNCH BAG  BLACK SKULL.,2011-05-19,33,3,5
LUNCH BAG  BLACK SKULL.,2011-05-20,20,4,5
LUNCH BAG  BLACK SKULL.,2011-05-22,23,6,5
LUNCH BAG  BLACK SKULL.,2011-05-23,51,0,5
LUNCH BAG  BLACK SKULL.,2011-05-24,22,1,5
LUNCH BAG  BLACK SKULL.,2011-05-25,15,2,5
LUNCH BAG  BLACK SKULL.,2011-05-26,3,3,5
LUNCH BAG  BLACK SKULL.,2011-05-29,19,6,5
LUNCH BAG  BLACK SKULL.,2011-05-31,13,1,5
LUNCH BAG  BLACK SKULL.,2011-06-01,3,2,6
LUNCH BAG  BLACK SKULL.,2011-06-02,103,3,6
LUNCH BAG  BLACK SKULL.,2011-06-03,12,4,6
LUNCH BAG  BLACK SKULL.,2011-06-05,69,6,6
LUNCH BAG  BLACK SKULL.,2011-06-06,40,0,6
LUNCH BAG  BLACK SKULL.,2011-06-07,31,1,6
LUNCH BAG  BLACK SKULL.,2011-06-08,55,2,6
LUNCH BAG  BLACK SKULL.,2011-06-09,5,3,6
LUNCH BAG  BLACK SKULL.,2011-06-10,1,4,6
LUNCH BAG  BLACK SKULL.,2011-06-12,27,6,6
LUNCH BAG  BLACK SKULL.,2011-06-14,12,1,6
LUNCH BAG  BLACK SKULL.,2011-06-15,139,2,6
LUNCH BAG  BLACK SKULL.,2011-06-16,25,3,6
LUNCH BAG  BLACK SKULL.,2011-06-17,37,4,6
LUNCH BAG  BLACK SKULL.,2011-06-19,12,6,6
LUNCH BAG  BLACK SKULL.,2011-06-20,166,0,6
LUNCH BAG  BLACK SKULL.,2011-06-21,36,1,6
LUNCH BAG  BLACK SKULL.,2011-06-22,25,2,6
LUNCH BAG  BLACK SKULL.,2011-06-23,39,3,6
LUNCH BAG  BLACK SKULL.,2011-06-24,123,4,6
LUNCH BAG  BLACK SKULL.,2011-06-26,9,6,6
LUNCH BAG  BLACK SKULL.,2011-06-27,36,0,6
LUNCH BAG  BLACK SKULL.,2011-06-28,10,1,6
LUNCH BAG  BLACK SKULL.,2011-06-30,37,3,6
LUNCH BAG  BLACK SKULL.,2011-07-01,43,4,7
LUNCH BAG  BLACK SKULL.,2011-07-03,28,6,7
LUNCH BAG  BLACK SKULL.,2011-07-04,123,0,7
LUNCH BAG  BLACK SKULL.,2011-07-05,30,1,7
LUNCH BAG  BLACK SKULL.,2011-07-06,57,2,7
LUNCH BAG  BLACK SKULL.,2011-07-07,63,3,7
LUNCH BAG  BLACK SKULL.,2011-07-08,130,4,7
LUNCH BAG  BLACK SKULL.,2011-07-10,9,6,7
LUNCH BAG  BLACK SKULL.,2011-07-11,55,0,7
LUNCH BAG  BLACK SKULL.,2011-07-12,23,1,7
LUNCH BAG  BLACK SKULL.,2011-07-13,32,2,7
LUNCH BAG  BLACK SKULL.,2011-07-14,57,3,7
LUNCH BAG  BLACK SKULL.,2011-07-15,20,4,7
LUNCH BAG  BLACK SKULL.,2011-07-17,29,6,7
LUNCH BAG  BLACK SKULL.,2011-07-18,60,0,7
LUNCH BAG  BLACK SKULL.,2011-07-19,81,1,7
LUNCH BAG  BLACK SKULL.,2011-07-20,15,2,7
LUNCH BAG  BLACK SKULL.,2011-07-21,32,3,7
LUNCH BAG  BLACK SKULL.,2011-07-22,40,4,7
LUNCH BAG  BLACK SKULL.,2011-07-24,72,6,7
LUNCH BAG  BLACK SKULL.,2011-07-25,46,0,7
LUNCH BAG  BLACK SKULL.,2011-07-26,113,1,7
LUNCH BAG  BLACK SKULL.,2011-07-27,40,2,7
LUNCH BAG  BLACK SKULL.,2011-07-28,42,3,7
LUNCH BAG  BLACK SKULL.,2011-07-29,51,4,7
LUNCH BAG  BLACK SKULL.,2011-07-31,16,6,7
LUNCH BAG  BLACK SKULL.,2011-08-02,40,1,8
LUNCH BAG  BLACK SKULL.,2011-08-03,10,2,8
LUNCH BAG  BLACK SKULL.,2011-08-04,280,3,8
LUNCH BAG  BLACK SKULL.,2011-08-05,16,4,8
LUNCH BAG  BLACK SKULL.,2011-08-07,4,6,8
LUNCH BAG  BLACK SKULL.,2011-08-08,14,0,8
LUNCH BAG  BLACK SKULL.,2011-08-09,92,1,8
LUNCH BAG  BLACK SKULL.,2011-08-10,63,2,8
LUNCH BAG  BLACK SKULL.,2011-08-11,186,3,8
LUNCH BAG  BLACK SKULL.,2011-08-12,32,4,8
LUNCH BAG  BLACK SKULL.,2011-08-15,14,0,8
LUNCH BAG  BLACK SKULL.,2011-08-16,53,1,8
LUNCH BAG  BLACK SKULL.,2011-08-17,11,2,8
LUNCH BAG  BLACK SKULL.,2011-08-18,50,3,8
LUNCH BAG  BLACK SKULL.,2011-08-19,20,4,8
LUNCH BAG  BLACK SKULL.,2011-08-21,108,6,8
LUNCH BAG  BLACK SKULL.,2011-08-22,71,0,8
LUNCH BAG  BLACK SKULL.,2011-08-23,49,1,8
LUNCH BAG  BLACK SKULL.,2011-08-24,130,2,8
LUNCH BAG  BLACK SKULL.,2011-08-25,74,3,8
LUNCH BAG  BLACK SKULL.,2011-08-26,10,4,8
LUNCH BAG  BLACK SKULL.,2011-08-28,37,6,8
LUNCH BAG  BLACK SKULL.,2011-09-01,38,3,9
LUNCH BAG  BLACK SKULL.,2011-09-02,54,4,9
LUNCH BAG  BLACK SKULL.,2011-09-04,23,6,9
LUNCH BAG  BLACK SKULL.,2011-09-05,56,0,9
LUNCH BAG  BLACK SKULL.,2011-09-06,30,1,9
LUNCH BAG  BLACK SKULL.,2011-09-07,75,2,9
LUNCH BAG  BLACK SKULL.,2011-09-08,36,3,9
LUNCH BAG  BLACK SKULL.,2011-09-09,14,4,9
LUNCH BAG  BLACK SKULL.,2011-09-11,7,6,9
LUNCH BAG  BLACK SKULL.,2011-09-12,20,0,9
LUNCH BAG  BLACK SKULL.,2011-09-13,73,1,9
LUNCH BAG  BLACK SKULL.,2011-09-14,40,2,9
LUNCH BAG  BLACK SKULL.,2011-09-15,64,3,9
LUNCH BAG  BLACK SKULL.,2011-09-16,68,4,9
LUNCH BAG  BLACK SKULL.,2011-09-18,12,6,9
LUNCH BAG  BLACK SKULL.,2011-09-19,142,0,9
LUNCH BAG  BLACK SKULL.,2011-09-20,14,1,9
LUNCH BAG  BLACK SKULL.,2011-09-21,140,2,9
LUNCH BAG  BLACK SKULL.,2011-09-22,33,3,9
LUNCH BAG  BLACK SKULL.,2011-09-23,32,4,9
LUNCH BAG  BLACK SKULL.,2011-09-25,51,6,9
LUNCH BAG  BLACK SKULL.,2011-09-26,10,0,9
LUNCH BAG  BLACK SKULL.,2011-09-27,44,1,9
LUNCH BAG  BLACK SKULL.,2011-09-28,21,2,9
LUNCH BAG  BLACK SKULL.,2011-09-29,55,3,9
LUNCH BAG  BLACK SKULL.,2011-09-30,76,4,9
LUNCH BAG  BLACK SKULL.,2011-10-02,22,6,10
LUNCH BAG  BLACK SKULL.,2011-10-03,46,0,10
LUNCH BAG  BLACK SKULL.,2011-10-04,12,1,10
LUNCH BAG  BLACK SKULL.,2011-10-05,180,2,10
LUNCH BAG  BLACK SKULL.,2011-10-06,43,3,10
LUNCH BAG  BLACK SKULL.,2011-10-07,7,4,10
LUNCH BAG  BLACK SKULL.,2011-10-09,8,6,10
LUNCH BAG  BLACK SKULL.,2011-10-10,32,0,10
LUNCH BAG  BLACK SKULL.,2011-10-11,43,1,10
LUNCH BAG  BLACK SKULL.,2011-10-12,31,2,10
LUNCH BAG  BLACK SKULL.,2011-10-13,91,3,10
LUNCH BAG  BLACK SKULL.,2011-10-14,113,4,10
LUNCH BAG  BLACK SKULL.,2011-10-16,10,6,10
LUNCH BAG  BLACK SKULL.,2011-10-17,21,0,10
LUNCH BAG  BLACK SKULL.,2011-10-18,31,1,10
LUNCH BAG  BLACK SKULL.,2011-10-19,30,2,10
LUNCH BAG  BLACK SKULL.,2011-10-20,8,3,10
LUNCH BAG  BLACK SKULL.,2011-10-21,30,4,10
LUNCH BAG  BLACK SKULL.,2011-10-23,13,6,10
LUNCH BAG  BLACK SKULL.,2011-10-24,5,0,10
LUNCH BAG  BLACK SKULL.,2011-10-25,27,1,10
LUNCH BAG  BLACK SKULL.,2011-10-26,24,2,10
LUNCH BAG  BLACK SKULL.,2011-10-27,24,3,10
LUNCH BAG  BLACK SKULL.,2011-10-28,26,4,10
LUNCH BAG  BLACK SKULL.,2011-10-30,24,6,10
LUNCH BAG  BLACK SKULL.,2011-10-31,31,0,10
LUNCH BAG  BLACK SKULL.,2011-11-01,7,1,11
LUNCH BAG  BLACK SKULL.,2011-11-02,11,2,11
LUNCH BAG  BLACK SKULL.,2011-11-03,5,3,11
